2001: A Space Odyssey	Arthur C. Clarke
Anil's Ghost	Michael Ondaatje
Anne of Green Gables	Lucy Maud Montgomery
Anniversaries	Uwe Johnson
Another Country	Karel Schoeman
Antiworlds	Andrey Voznesensky
Anton Reiser	Karl Philipp Moritz
Anything Is Possible	Elizabeth Strout
Apu Ollontay	Peru
Arcanum 17	André Breton
Around the World in Eighty Days	Jules Verne
Arrow of God	Chinua Achebe
Artemis Fowl	Eoin Colfer
As If I Am Not There	Slavenka Drakulic
Ashes and Diamonds	Jerzy Andrzejewski
Asterix the Gaul	Rene Goscinny
Astonishing the Gods	Ben Okri
Astradeni	Eugenia Fakinou
Asymmetry	Lisa Halliday
Aurélien	Louis Aragon
Aus dem Leben eines Taugenichts	Joseph von Eichendorff
Auto Da Fé	Elias Canetti
Autobiography of an Ex-Colored Man	James Weldon Johnson
Babbitt	Sinclair Lewis
Bad Behavior: Stories	Mary Gaitskill
Ballad of the Salt Sea	Hugo Pratt
Ballet Shoes	Noel Streatfeild
Balzac and the Little Chinese Seamstress	Dai Sijie
Barefoot	Zaharia Stancu
Bartleby & Co	Enrique Vila-Matas
Bastard Out of Carolina	Dorothy Allison
Bathsheba	Torgny Lindgren
Baudolino	Umberto Eco
Beat the Devil	Claud Cockburn
Bébo's Girl	Carlo Cassola
Been Down So Long it Looks Like Up to Me	Richard Fariña
Behind of the Scenes at the Museum	Kate Atkinson
Bel Ami	Guy de Maupassant
Belle du Seigneur	Albert Cohen
Ben-Hur	Lew Wallace
Benito Cereno	Herman Melville
Bérénice	Jean Racine
Berlin Alexanderplatz	Alfred Döblin
Betrayed	Rita Hayworth
Betty Blue: The Story of a Passion	Philippe Djian
Billy Liar	Keith Waterhouse
Billy Lynn's Long Halftime Walk: A Novel	Ben Fountain
Billy Phelan's Greatest Game	William Kennedy
Binocular Vision	Edith Pearlman
Birdsong	Sebastian Faulks
Black and Blur	Fred Moten
Black Beauty: The Autobiography of a Horse	Anna Sewell
Black Box	Amos Oz
Black Sheep	Georgette Heyer
Black Tickets	Jayne Anne Phillips
Black Water	Joyce Carol Oates
Blake and Mortimer	Edgar P. Jacobs
Bless Me, Ultima	Rudolfo Anaya
Blind Willow, Sleeping Woman	Haruki Murakami
Blood Tie	Mary Lee Settle
Body Rags	Galway Kinnell
Bohemian Lights	Ramón del Valle-Inclán
Bonfire of the Vanities	Tom Wolfe
Bonjour Tristesse	Francoise Sagan
Books of Blood	Clive Barker
Born Confused	Tanuja Desai Hidier
Born Yesterday	Gordon Burn
Bostan	Saadi
Bouvard et Pécuchet	Gustave Flaubert
Bowlaway	Elizabeth McCracken
Boy, Snow, Bird	Helen Oyeyemi
Bread Givers: A Novel : a Struggle Between a Father of the Old World and a Daughter of the New	Anzia Yezierska
Breakfast at Tiffany's	Truman Capote
Brick Lane	Monica Ali
Bridge to Terabithia	Katherine Paterson
Bridget Jones's Diary	Helen Fielding
Bright Lights, Big City	Jay McInerney
Broad and Alien is the World	Ciro Alegría
Broken Glass	Alain Mabanckou
Brooklyn	Colm Tóibín
Brown Girl, Brownstones	Paule Marshall
Building Stories	Chris Ware
Burmese Days	George Orwell
Busman’s Honeymoon	Dorothy L Sayers
Call It Sleep	Henry Roth
Calligrammes	Guillaume Apollinaire
Camera Obscura	Nicolaas Beets
Cancer Ward	Aleksandr Solzhenitsyn
Candida: a Pleasant Play	George Bernard Shaw
Candide	Voltaire
Cane	Jean Toomer
Capital	John Lanchester
Capital of Pain	Paul Éluard
Captain Hornblower R.N.: Hornblower and the 'Atropos', The Happy Return, A Ship of the Line	C S Forester
Carmen	Prosper Mérimée
Carry Me Down	M.J. Hyland
Carter Beats The Devil	Glen David Gold
Castle Gripsholm	Kurt Tucholsky
Castle Rackrent	Maria Edgeworth
Cat and Mouse	Günter Grass
Cat on a Hot Tin Roof	Tennessee Williams
Catch-22	Joseph Heller
Cat's Eye	Margaret Atwood
Celestial Harmonies	Peter Esterhazy
Celestina	Fernando de Rojas
Ceremony	Leslie Marmon Silko
Chaka	Thomas Mofolo
Chanda's Secrets	Allan Stratton
Charlotte's Web	E. B. White
Charming Billy	Alice McDermott
Cheese	Willem Elsschot
Chesapeake	James A. Michener
Chimera	John Barth
Christina Rossetti: The Complete Poems	Christina Georgina Rossetti
Christy	Catherine Marshall
Chronicle of a Death Foretold	Gabriel Garcia Marquez
Cider with Rosie	Laurie Lee
Circe	Madeline Miller
Cities of the Plain	Cormac McCarthy
Citizen: An American Lyric	Claudia Rankine
City of Bohane	Kevin Barry
City of Glass	Paul Auster
City of Salt	Abdelrahman Munif
City, Sister, Silver	Jáchym Topol
CivilWarLand in Bad Decline	George Saunders
Clear Light of Day	Anita Desai
Clockers	Richard Price
Close Range: Wyoming Stories	Annie Proulx
Closely Watched Trains	Bohumil Hrabal
Cloudstreet	Tim Winton
Cold Comfort Farm	Stella Gibbons
Cold Mountain	Charles Frazier
Cold Nights	Ba Jin
Cold Sassy Tree	Olive Ann Burns
Collected Poems	Wallace Stevens
Collected Poems	Allen Ginsberg
Collected Poems	Stéphane Mallarmé
Collected Poems	Nils Ferlin
Collected Poems	Jack Gilbert
Collected Poems	Jane Kenyon
Collected Poems 1912-1944	Hilda Doolittle
Collected Poems of Dylan Thomas	Dylan Thomas
Collected Poems of Frank O'Hara	Frank O'Hara
Collected Poems of Michael Donaghy	Michael Donaghy
Collected Poems of Ted Hughes	Ted Hughes
Collected Poems of W. B. Yeats	W. B. Yeats
Collected Short Stories of Saki	Saki
Collected Stories	William Somerset Maugham
Collected Stories of Peter Taylor	Peter Taylor
Commonwealth	Ann Patchett
Compassion	Benito Pérez Galdós
Complete Poems	Elizabeth Bishop
Complete Poems of Giacomo Leopardi	Giacomo Leopardi
Complete Stories	Dorothy Parker
Confessions of a Mask	Yukio Mishima
Confusion	Stefan Zweig
Contact	Carl Sagan
Conversations in Sicily	Elio Vittorini
Coplas por la muerte de su padre	Jorge Manrique
Corelli's Mandolin	Louis de Bernières
Cost	Roxana Robinson
Count Julian	Juan Goytisolo
Count Zero	William Gibson
Creamy and Delicious	Steve Katz
Crossfire	Miyuki Miyabe
Crow Lake	Mary Lawson
Cry, the Beloved Country	Alan Paton
Cutter and Bone	Newton Thornburg
Cutting for Stone	Abraham Verghese
Cyrano de Bergerac	Edmond Rostand
Dangerous Laughter	Steven Millhauser
Dangerous Liaison	Pierre Choderlos de Laclos
Daphnis and Chloe	Longus
Darconville's Cat	Alexander Theroux
Dark symphony: Negro literature in America	James A. Emanuel (Comp), Theodore L. Gross (Joint Comp)
Darkmans	Nicola Barker
Darkness at Noon	Arthur Koestler
Darkness Spoken: The Collected Poems	Ingeborg Bachmann
Dart	Alice Oswald
Dawn	Elie Wiesel
Day	A. L. Kennedy
De Rerum Natura	Lucretius
Dealing With Dragons	Patricia C. Wrede
Death in Rome	Wolfgang Koeppen
Death of a Lake	Arthur William Upfield
Death Of A Salesman	Arthur Miller
Death on Credit	Louis-Ferdinand Céline
Death Sentence	Maurice Blanchot
Decameron	Giovanni Boccaccio
Deep Rivers	José María Arguedas
Delicious Foods	James Hannaham
Deliverance	James Dickey
Demian	Hermann Hesse
Democracy	Joan Didion
Dept. of Speculation	Jenny Offill
Der Fall Mauritius	Jakob Wassermann
Devil in a Blue Dress	Walter Mosley
Dhalgren	Samuel R. Delany
Diamonds Are Forever	Ian Fleming
Diary of a Wimpy Kid	Jeff Kinney
Dictionary of the Khazars	Milorad Pavic
Die neuen Leiden des jungen W.	Ulrich Plenzdorf
Dirk Gently's Holistic Detective Agency	Douglas Adams
Dirty Havana Trilogy	Pedro Juan Gutierrez
Disappearance	David Dabydeen
Disobedience	Alberto Moravia
Dissolution: A Shardlake Novel	C. J. Sansom
Distant Star	Roberto Bolaño
Divine Secrets of the Ya-Ya Sisterhood	Rebecca Wells
Do Everything in the Dark	Gary Indiana
Docherty	William McIlvanney
Doctor Glas	Hjalmar Soderberg
Doctor Zhivago	Boris Pasternak
Dog	Kerstin Ekman
Dog Soldiers	Robert Stone
Dom Casmurro	Machado de Assis
Don Carlos: Infante of Spain, a Drama in Five Acts	Friedrich Schiller
Don Juan	Molière
Doña Bárbara	Rómulo Gallegos
Double Or Nothing	Raymond Federman
Down There	J. K. Huysmans
Dracula	Bram Stoker
Dragon's Teeth	Upton Sinclair
Dream of the Red Chamber	Cao Xueqin
Dreaming in Cuban	Cristina García
Dreamtigers	Jorge Luis Borges
Drive Your Plow Over the Bones of the Dead	Olga Tokarczuk
Drop City	T. Coraghessan Boyle
Drown	Junot Diaz
Drunkard	Émile Zola
Dune	Frank Herbert
Early Autumn	Louis Bromfield
Early Novels and Stories	James Baldwin
Earth Abides	George Rippey Stewart
Easy Travel to Other Planets	Ted Mooney
Eat the Document	Dana Spiotta
Eclipse of the Crescent Moon	Géza Gárdonyi
Ecotopia	Ernest Callenbach
Edmund Dulac's Fairy-Book	Edmund Dulac
Edward Lear's Book of Nonsense	Edward Lear
Effi Briest	Theodor Fontane
Eight Men: Short Stories	Richard Wright
Einstein's Dreams	Alan Lightman
El Buscón	Francisco de Quevedo
Elbow Room	James Alan McPherson
Elegies	Douglas Dunn
Eline Vere	Louis Couperus
Ellen Foster	Kaye Gibbons
Embers	Sandor Marai
Emily of New Moon	L. M. Montgomery
Empire Falls	Richard Russo
Empire of the Sun	J. G. Ballard
Ender's Game	Orson Scott Card
English Passengers	Matthew Kneale
Erasure	Percival Everett
Erewhon	Samuel Butler
Eugenie Grandet	Honoré de Balzac
Eustace and Hilda	L. P. Hartley
Eva Luna	Isabel Allende
Eva Trout	Elizabeth Bowen
Evelina	Fanny Burney
Every Man for Himself	Beryl Bainbridge
Everyman	Philip Roth
Everyman	Anonymous
Everything Begins and Ends at the Kentucky Club	Benjamin Alire Sáenz
Everything Ravaged, Everything Burned	Wells Tower
Everything That Rises Must Converge	Flannery O'Connor
Exercises in Style	Raymond Queneau
Exit West	Mohsin Hamid
Extremely Loud and Incredibly Close	Jonathan Safran Foer
Eye Of The Needle	Ken Follett
Fables of La Fontaine	Jean de La Fontaine
Faceless Killers	Henning Mankell
Faces In The Water	Janet Frame
Fado Alexandrino	António Lobo Antunes
Fairy Tales and Stories	Hans Christian Anderson
Falconer	John Cheever
Fall On Your Knees	Ann-Marie MacDonald
Falling in Place	Ann Beattie
Family Life	Akhil Sharma
Family Sayings	Natalia Ginzburg
Fanny Hill	John Cleland
Fantômas	Marcel Allain, Pierre Souvestre
Farewell, My Lovely: A Novel	Raymond Chandler
Fateless	Imre Kertész
Fates and Furies	Lauren Groff
Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream	Hunter S. Thompson
Fear of Flying	Erica Jong
Ferdydurke	Witold Gombrowicz
Fifty Shades of Grey:	E L James
Finnegans Wake	James Joyce
Flatland: A Romance of Many Dimensions	Edwin A. Abbott
Fleshmarket Close	Ian Rankin
Flicker	Theodore Roszak
Flight Behavior	Barbara Kingsolver
Flowering Judas and Other Stories	Katherine Anne Porter
Flowers in the Attic	V. C. Andrews
Foliage: Or, Poems Original and Translated	Leigh Hunt
Follow the River	James Alexander Thom
Fool's Gold	Máro Doýka
Fools of Fortune	William Trevor
Foreign Affairs	Alison Lurie
Forest of the Hanged	Liviu Rebreanu
Forever a Stranger	Hella S. Haasse
Forever...	Judy Blume
Forever: A Novel	Pete Hamill
Fortune Smiles: Stories	Adam Johnson
Fragments	Heraclitus
Frankenstein	Mary Shelley
Freedom: A Novel	Jonathan Franzen
Friday	Michel Tournier
Fried Green Tomatoes	Fannie Flagg
From Here to Eternity	James Jones
Froth on the daydream	Boris Vian
Fugitive Pieces	Anne Michaels
Furor and Mystery	René Char
G.	John Berger
Gabriela, Clove and Cinnamon	Jorge Amado
Gargantua and Pantagruel	Francois Rabelais
Gaston	André Franquin
Gateway	Frederik Pohl
Geek Love: A Novel	Katherine Dunn
Genoa: a telling of wonders	Paul C. Metcalf
Gentlemen Prefer Blondes: The Illuminating Diary of a Professional Lady	Anita Loos
Germany, a Winter Tale	Heinrich Heine
Ghachar Ghochar	Vivek Shanbhag
Ghost	Jason Reynolds
Ghostwritten	David Mitchell
Giants in the Earth	Ole Edvart Rolvaag
Gimmick!	Joost Zwagerman
Gimpel the Fool	Isaac B Singer
Girl in Hyacinth Blue	Susan Vreeland
Go Down, Moses	William Faulkner
God's Bits of Wood	Ousmane Sembène
Gogol's Wife	Tommaso Landolfi
Going After Cacciato	Tim O'Brien
Going Native	Stephen Wright
Golden Child	Claire Adam
Gone Girl	Gillian Flynn
Gone With the Wind	Margaret Mitchell
Good Omens	Terry Pratchett, Neil Gaiman
Goodnight Mister Tom	Michelle Magorian
Goodnight Moon	Margaret Wise Brown
Gospels	Various Authors
Green Eggs and Ham	Dr. Seuss
Green Henry	Gottfried Keller
Greenmantle	John Buchan
Guard of Honor	James Gould Cozzens
Guerrillas	V. S. Naipaul
Gulliver's Travels	Jonathan Swift
Guzmán de Alfarache	Mateo Alemán
Habibi	Craig Thompson
Hadrian the Seventh	Frederick Rolfe
Hagoromo: A Celestial Robe	Japan
Half of Man is Woman	Zhang Xianliang
Halftime	Martin Walser
Hallucinating Foucault	Patricia Duncker
Hangover Square: A Story of Darkest Earl's Court	Patrick Hamilton
Hard Times	Charles Dickens
Harry Potter And The Prisoner Of Azkaban	J. K Rowling
Hatchet	Gary Paulsen
Haunted	Chuck Palahniuk
Hawaii	James Albert Michener
Hawksmoor	Peter Ackroyd
Heat and Dust	Ruth Prawer Jhabvala
Heavy Wings	Zhang Jie
Heinrich of Ofterdingen	Novalis
Her Body and Other Parties: Stories	Carmen Maria Machado
Her Privates We	Frederic Manning
Here's to You, Jesusa!	Elena Poniatowska
Herland	Charlotte Perkins Gilman
High Fidelity	Nick Hornby
His Family	Ernest Poole
Histoire de Babar	Jean de Brunhoff
History	Elsa Morante
Hogg	Samuel Delany
Holes	Louis Sachar
Holiday	Stanley Middleton
Home and the World	Rabindranath Tagore
Home Fire	Kamila Shamsie
Home Land	Sam Lipsyte
Home to Harlem	Claude McKay
Homegoing	Yaa Gyasi
Honey in the Horn	Harold L. Davis
Hopeful Monsters	Nicholas Mosley
Hopscotch	Julio Cortázar
Horseman, Pass By: A Novel	Larry McMurtry
Hotel du Lac	Anita Brookner
House Made of Dawn	N. Scott Momaday
House Mother Normal	B. S. Johnson
House of Leaves	Mark Z. Danielewski
House with the Blind Glass Windows	Herbjørg Wassmo
Household Tales	Brothers Grimm
Housekeeping	Marilynne Robinson
How Far Can You Go?	David Lodge
How German Is It	Walter Abish
How Green Was My Valley	Richard Llewellyn
How I Live Now	Meg Rosoff
How Should a Person Be?	Sheila Heti
How the Garcia Girls Lost Their Accents	Julia Alvarez
I Am Legend	Richard Matheson
I Capture the Castle	Dodie Smith
I Loved You More	Tom Spanbauer
I Malavoglia	Giovanni Verga
I Thought of Daisy	Edmund Wilson
I Wish Someone Were Waiting for Me Somewhere	Anna Gavalda
I, Alex Cross	James Patterson
I, Claudius	Robert Graves
I, etcetera	Susan Sontag
I, Robot	Isaac Asimov
I, Tituba, Black Witch of Salem	Maryse Condé
Ice-Candy-Man	Bapsi Sidhwa
If He Hollers Let Him Go	Chester Himes
If Nobody Speaks of Remarkable Things	Jon McGregor
If: A Father's Advice to His Son	Rudyard Kipling
Il Piacere	Gabriele D'Annunzio
I'm Not Scared	Niccolò Ammaniti
Impressions of Africa	Raymond Roussel
In Memoriam to Identity	Kathy Acker
In Parenthesis	David Jones
In Search of Klingsor	Jorge Volpi Escalante
In Search of Lost Time	Marcel Proust
In This Our Life	Ellen Glasgow
Independent People	Halldor Laxness
Indian Summer of a Forsyte	John Galsworthy
Indigo	Marina Warner
Inland	Gerald Murnane
Interpreter of Maladies	Jhumpa Lahiri
Interview with the Vampire	Anne Rice
Invisible Man	Ralph Ellison
It: A Novel	Stephen King
Italian Folktales	Italo Calvino
Jacob the Liar	Jurek Becker
Jakob Von Gunten	Robert Walser
James and the Giant Peach	Roald Dahl
Jayber Crow	Wendell Berry
John Wesley's Sermons: An Anthology	Albert C. Outler
Jonathan Livingston Seagull	Richard Bach
Jonathan Strange and Mr Norrell	Susanna Clarke
Journey	Moonlight
Journey in the Dark	Martin Flavin
Journey to the West	Wu Cheng'en
Joy in the Morning	P. G. Wodehouse
Juan De Mairena	Antonio Machado
Julian	Gore Vidal
Julie, or the New Heloise	Jean-Jacques Rousseau
Jurassic Park	Michael Crichton
Justine	Lawrence Durrell
Kaaterskill Falls	Allegra Goodman
Kabbalah	Unknown
Kallocain	Karin Boye
Kane and Abel	Jeffrey Archer
Kaputt	Curzio Malaparte
Kaspar and Other Plays	Peter Handke
Kate Vaiden	Reynolds Price
Kieron Smith, Boy	James Kelman
Killshot	Elmore Leonard
Kiss of the Spider Woman	Manuel Puig
Kitchen	Banana Yoshimoto
Kolyma Tales	Varlan Shalanov
Krik? Krak!	Edwidge Danticat
Kristin Lavransdatter	Sigrid Undset
Kruger's Alp	Christopher Hope
L.A. Confidential	James Ellroy
La Nuit obscure	Jean de la Croix
La Regenta	Clarín
La Saga/ Fuga de J. B./ The Saga/ Escape of J.B.	Gonzalo Torrente Ballester
L'Abbé C	Georges Bataille
Lad: a Dog	Albert Payson Terhune
Lady into Fox	David Garnett
Lady Number Thirteen	José Carlos Somoza
Lamb in His Bosom	Caroline Miller
Landing Light	Don Paterson
LaRose	Louise Erdrich
Larva: Midsummer Night's Babel	Julián Ríos
Last Evenings with Teresa	Juan Marse
Last Exit to Brooklyn	Hubert Selby
Laughing Boy	Oliver La Farge
Le Bateau Ivre	Arthur Rimbaud
Le Cid	Pierre Corneille
Le Diable au corps	Raymond Radiguet
Le Morte d'Arthur	Thomas Malory
Le Roman de la Rose	Guillaume (de Lorris)
Leading the Cheers	Justin Cartwright
Leaving the Atocha Station	Ben Lerner
Left Behind	Tim LaHaye, Jerry B. Jenkins
Legend	David Gemmell
Legends of The Fall	Jim Harrison
Lenz	Georg Buchner
Les Contemplations	Victor Hugo
Les Destinées	Alfred de Vigny
Les Enfants Terribles	Jean Cocteau
Les Filles du feu	Gerard de Nerval
Les Tragiques	Agrippa d'Aubigné
Less	Andrew Sean Greer
Less Than Angels	Barbara Pym
Let the Great World Spin: A Novel	Colum McCann
Levels of Life	Julian Barnes
Libra	Don DeLillo
Life and Death of Harriett Frean	May Sinclair
Life and Fate	Vasily Grossman
Life in the Far West	George Frederick Ruxton
Life Is a Dream	Pedro Calderón de la Barca
Life of Christ	Giovanni Papini
Life of Pi	Yann Martel
Light	M. John Harrison
Like Water For Chocolate	Laura Esquivel
Little Fires Everywhere	Celeste Ng
Little House on the Prairie	Laura Ingalls Wilder
Little Women	Louisa May Alcott
Little, Big	John Crowley
Lives Other Than My Own	Emmanuel Carrère
Living Up The Street	Gary Soto
Lolly Willowes	Sylvia Townsend Warner
Looking for Alaska	John Green
Lookout cartridge	Joseph McElroy
Lord of Misrule: The Morganville Vampires	Rachel Caine
Los lanzallamas	Roberto Arlt
Lost Horizon	James Hilton
Love in Excess; or, The Fatal Enquiry	Eliza Haywood
Lucy	Jamaica Kincaid
Luka	Antun Šoljan
Lyrical Ballads	William Wordsworth, Samuel Taylor Coleridge
Maggie: A Girl of the Streets	Stephen Crane
Maldoror (Les Chants de Maldoror)	Comte de Lautréamont
Man in the Holocene	Max Frisch
Manhattan Transfer	John Dos Passos
Manon des sources	Marcel Pagnol
Manon Lescaut	Abbe Prevost
Man's Fate	Andre Malraux
Mansfield Park	Jane Austen
March	Geraldine Brooks
Margot and the Angels	Kristien Hemmerechts
Marius the Epicurean	Walter Pater
Marivaux: Three Plays	Pierre Carlet de Chamblain de Marivaux
Martín Fierro	José Hernández
Masnavi	Jalal al-Din Muhammad Rumi
Mason & Dixon	Thomas Pynchon
Master and Commander	Patrick O'Brian
Masterworks of the Classical Haida Mythtellers	Robert Bringhurst
Matterhorn	Karl Marlantes
Max Havelaar	Multatuli
Measuring the World	Daniel Kehlmann
Melmoth the Wanderer	Charles Robert Maturin
Memed, My Hawk	Yashar Kemal
Memoirs of a Geisha	Arthur Golden
Memoirs of a Peasant Boy	Xosé Neira Vilas
Memoirs of Martinus Scriblerus	Scriblerus Club
Memories of Rain	Sunetra Gupta
Men Without Women	Ernest Hemingway
Mensagem	Fernando Pessoa
Metamorphoses	Ovid
Middle Passage	Charles R. Johnson
Milkman	Anna Burns
Mio, My Son	Astrid Lindgren
Mislaid	Nell Zink
Miss Julie	August Strindberg
Miss Pettigrew Lives for a Day	Winifred Watson
Miss Pickerell Goes to Mars	Ellen Macgregor
Miss Susie Slagle's	Augusta Tucker
Moll Flanders	Daniel Defoe
Monica	Saunders Lewis
Monsignor Quixote	Graham Greene
Moon Tiger	Penelope Lively
Moravagine	Blaise Cendrars
More Than Human	Theodore Sturgeon
Mortal y rosa	Francisco Umbral
Mortals	Norman Rush
Morte D'Urban	J. F. Powers
Morvern Callar	Alan Warner
Moscow-Petushki	Venedikt Yerofeev
Mother	Maksim Gorky
Motherless Brooklyn	Jonathan Lethem
Mr. American	George MacDonald Fraser
Mr. Sammler's Planet	Saul Bellow
Mrs. Bridge	Evan S. Connell
Mulligan Stew	Gilbert Sorrentino
Music and Silence	Rose Tremain
My Book House	Olive Beaupré Miller
My City: A Hong Kong Story	Xi Xi
My Life and My Life in the Nineties	Lyn Hejinian
My Name Is Aram	William Saroyan
My Year of Rest and Relaxation	Ottessa Moshfegh
Mysteries	Knut Hamsun
Mystic River	Dennis Lehane
Mythologies	Roland Barthes
Nada	Carmen Laforet
Nathan the Wise	Gotthold Ephraim Lessing
Native American Folktales	Thomas A. Green
Nausea	Jean Paul Sartre
Nectar in a Sieve	Kamala Markandaya
Nero Wolfe	Rex Stout
Nervous Conditions	Tsitsi Dangarembga
Netherland	Joseph O'Neill
Never Mind	Edward St Aubyn
New Atlantis	Francis Bacon
New Grub Street: A Novel	George Gissing
News from Nowhere	William Morris
Night Watch	Terry Pratchett
Nightmare Abbey	Thomas Love Peacock
Nightwood	Djuna Barnes
Njal's Saga	Iceland
No Laughing Matter	Angus Wilson
No Orchids for Miss Blandish	James Hadley Chase
Nog	Rudy Wurlitzer
None but the Brave	Arthur Schnitzler
Normal People	Sally Rooney
North and South	Elizabeth Gaskell
Notes from No Man's Land: American Essays	Eula Biss
Notes on a Scandal	Zoë Heller
Nothing Like the Sun	Anthony Burgess
Noughts and Crosses	Malorie Blackman
Novel on Yellow Paper	Stevie Smith
Now in November	Josephine Winslow Johnson
Obabakoak	Bernardo Atxaga
Obasan	Joy Kogawa
Oblivion: Stories	David Foster Wallace
Oblomov	Ivan Goncharov
October Light	John Gardner
Odes	John Keats
Of Time and the River: A Legend of Man's Hunger in His Youth	Thomas Wolfe
Omensetter's Luck	William H. Gass
On Love	Alain de Botton
On the Black Hill	Bruce Chatwin
On the Bus with Rosa Parks	Rita Dove
On the Heights of Despair	Emil Cioran
One Hundred and One Poems	Paul Verlaine
One of Ours	Willa Cather
One Thousand and One Nights	India/Iran/Iraq/Egypt
One, No One and One Hundred Thousand	Luigi Pirandello
Ooga-Booga	Frederick Seidel
Oroonoko	Aphra Behn
Our Lady of the Assassins	Fernando Vallejo
Our Lady of the Flowers	Jean Genet
Out Stealing Horses	Per Petterson
Outlander	Diana Gabaldon
Outline	Rachel Cusk
Outside Over There	Maurice Sendak
Paco's Story	Larry Heinemann
Palace of the Peacock	Wilson Harris
Palace Walk	Naguib Mahfouz
Pallieter	Felix Timmermans
Pamela	Samuel Richardson
Parade's End	Ford Madox Ford
Paris Trout	Pete Dexter
Party Going	Henry Green
Parzival	Wolfram Eschenbach
Passing	Nella Larsen
Patterns of Childhood	Christa Wolf
Penguin Island	Anatole France
Pepita Jimenez	Juan Valera y Alcalá-Galiano
Percy Jackson and the Olympians, Book One: Lightning Thief, The	Rick Riordan
Pereira Maintains	Antonio Tabucchi
Persepolis Two	Marjane Satrapi
Petals of blood	Ngugi wa Thiong'o
Peter Pan	J. M. Barrie
Petersburg	Andrei Bely
Petrarch's Songbook	Francesco Petrarca
Peyton Place	Grace Metalious
Phaedrus	Plato
Philoctetes	Sophocles
Picture Palace	Paul Theroux
Pilgrimage	Dorothy Richardson
Pilgrim's Progress	John Bunyan
Plains Song	Wright Morris
Plainsong	Kent Haruf
Platero	Juan Ramón Jiménez
Poems	Machado
Poems	Paul Celan
Poems	Miguel de Unamuno
Poems of Alfred Lord Tennyson	Alfred Lord Tennyson
Poems of Emily Dickinson	Emily Dickinson
Poems of Eugenio Montale	Eugenio Montale
Poems of Federico García Lorca	Federico García Lorca
